"year","month","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1505,8,1505.70833333333,2,2.680774,2.12126,1.796638,1.579463,1.421655,1.625745,1.806142,1.687404,1.587819,1.502806,1.429176
1505,9,1505.79166666667,1,2.010581,2.651575,2.245797,1.974329,1.777069,1.625745,1.806142,1.968638,1.852455,1.753274,1.667372
1505,10,1505.875,1,1.340387,2.12126,2.694956,2.369195,2.132482,1.950894,1.806142,1.968638,2.117092,2.003741,1.905568
1505,11,1505.95833333333,0,0.670194,1.06063,1.796638,2.369195,2.132482,1.950894,1.806142,1.687404,1.852455,2.003741,1.905568
1505,12,1506.04166666667,0,0,0.530315,0.898319,1.579463,2.132482,1.950894,1.806142,1.687404,1.587819,1.753274,1.905568
1506,1,1506.125,0,0,0,0.449159,0.789732,1.421655,1.950894,1.806142,1.687404,1.587819,1.502806,1.667372
1506,2,1506.20833333333,0,0,0,0,0.394866,0.710827,1.300596,1.806142,1.687404,1.587819,1.502806,1.429176
1506,3,1506.29166666667,0,0,0,0,0,0.355414,0.650298,1.204095,1.687404,1.587819,1.502806,1.429176
1506,4,1506.375,0,0,0,0,0,0,0.325149,0.602047,1.124936,1.587819,1.502806,1.429176
1506,5,1506.45833333333,0,0,0,0,0,0,0,0.301024,0.562468,1.058546,1.502806,1.429176
1506,6,1506.54166666667,-2,-1.340387,-1.06063,-0.898319,-0.789732,-0.710827,-0.650298,-0.602047,-0.281234,0,0.500935,0.952784
1506,7,1506.625,-1,-2.010581,-1.590945,-1.347478,-1.184597,-1.066241,-0.975447,-0.903071,-0.843702,-0.529273,-0.250468,0.238196
1506,8,1506.70833333333,0,-0.670194,-1.590945,-1.347478,-1.184597,-1.066241,-0.975447,-0.903071,-0.843702,-0.793909,-0.500935,-0.238196
1506,9,1506.79166666667,0,0,-0.530315,-1.347478,-1.184597,-1.066241,-0.975447,-0.903071,-0.843702,-0.793909,-0.751403,-0.476392
1506,10,1506.875,0,0,0,-0.449159,-1.184597,-1.066241,-0.975447,-0.903071,-0.843702,-0.793909,-0.751403,-0.714588
1506,11,1506.95833333333,0,0,0,0,-0.394866,-1.066241,-0.975447,-0.903071,-0.843702,-0.793909,-0.751403,-0.714588
1506,12,1507.04166666667,0,0,0,0,0,-0.355414,-0.975447,-0.903071,-0.843702,-0.793909,-0.751403,-0.714588
1507,1,1507.125,0,0,0,0,0,0,-0.325149,-0.903071,-0.843702,-0.793909,-0.751403,-0.714588
1507,2,1507.20833333333,0,0,0,0,0,0,0,-0.301024,-0.843702,-0.793909,-0.751403,-0.714588
1507,3,1507.29166666667,-1,-0.670194,-0.530315,-0.449159,-0.394866,-0.355414,-0.325149,-0.301024,-0.562468,-1.058546,-1.001871,-0.952784
1507,4,1507.375,-1,-1.340387,-1.06063,-0.898319,-0.789732,-0.710827,-0.650298,-0.602047,-0.562468,-0.793909,-1.252338,-1.19098
1507,5,1507.45833333333,0,-0.670194,-1.06063,-0.898319,-0.789732,-0.710827,-0.650298,-0.602047,-0.562468,-0.529273,-0.751403,-1.19098
1507,6,1507.54166666667,-2,-1.340387,-1.590945,-1.796638,-1.579463,-1.421655,-1.300596,-1.204095,-1.124936,-1.058546,-1.001871,-1.19098
1507,7,1507.625,1,-0.670194,-0.530315,-0.898319,-1.184597,-1.066241,-0.975447,-0.903071,-0.843702,-0.793909,-0.751403,-0.714588
1507,8,1507.70833333333,0,0.670194,-0.530315,-0.449159,-0.789732,-1.066241,-0.975447,-0.903071,-0.843702,-0.793909,-0.751403,-0.714588
1507,9,1507.79166666667,-1,-0.670194,0,-0.898319,-0.789732,-1.066241,-1.300596,-1.204095,-1.124936,-1.058546,-1.001871,-0.952784
1507,10,1507.875,-1,-1.340387,-1.06063,-0.449159,-1.184597,-1.066241,-1.300596,-1.505119,-1.40617,-1.323182,-1.252338,-1.19098
1507,11,1507.95833333333,0,-0.670194,-1.06063,-0.898319,-0.394866,-1.066241,-0.975447,-1.204095,-1.40617,-1.323182,-1.252338,-1.19098
1507,12,1508.04166666667,0,0,-0.530315,-0.898319,-0.789732,-0.355414,-0.975447,-0.903071,-1.124936,-1.323182,-1.252338,-1.19098
1508,1,1508.125,0,0,0,-0.449159,-0.789732,-0.710827,-0.325149,-0.903071,-0.843702,-1.058546,-1.252338,-1.19098
1508,2,1508.20833333333,0,0,0,0,-0.394866,-0.710827,-0.650298,-0.301024,-0.843702,-0.793909,-1.001871,-1.19098
1508,3,1508.29166666667,1,0.670194,0.530315,0.449159,0.394866,0,-0.325149,-0.301024,0,-0.529273,-0.500935,-0.714588
1508,4,1508.375,1,1.340387,1.06063,0.898319,0.789732,0.710827,0.325149,0,0,0.264636,-0.250468,-0.238196
1508,5,1508.45833333333,1,1.340387,1.590945,1.347478,1.184597,1.066241,0.975447,0.602047,0.281234,0.264636,0.500935,0
1508,6,1508.54166666667,0,0.670194,1.06063,1.347478,1.184597,1.066241,0.975447,0.903071,0.562468,0.264636,0.250468,0.476392
1508,7,1508.625,1,0.670194,1.06063,1.347478,1.579463,1.421655,1.300596,1.204095,1.124936,0.793909,0.500935,0.476392
1508,8,1508.70833333333,2,2.010581,1.590945,1.796638,1.974329,2.132482,1.950894,1.806142,1.687404,1.587819,1.252338,0.952784
1508,9,1508.79166666667,1,2.010581,2.12126,1.796638,1.974329,2.132482,2.276043,2.107166,1.968638,1.852455,1.753274,1.429176
1508,10,1508.875,0,0.670194,1.590945,1.796638,1.579463,1.777069,1.950894,2.107166,1.968638,1.852455,1.753274,1.667372
